Fensternummer;Gebäude;Etage;Raum;Raumnummer;Status;Hersteller;Beschlagsystem;Baujahr;Breite_mm;Höhe_mm;Mangel;Dringend;Fortschritt;Bewertung
F-0474;Nebengebäude West;Erdgeschoss;Druckerraum;NGW-110;nicht begonnen;Roto Frank;Winkhaus activPilot;2000;1603;937;Nein;Nein;0%;
F-0475;Nebengebäude West;Erdgeschoss;Druckerraum;NGW-110;Spezialpruefung erforderlich;Maco;Winkhaus activPilot;2003;1674;1386;Nein;Nein;0%;
F-0476;Nebengebäude West;1. Obergeschoss;Teeküche;NGW-201;nicht zugaenglich;Roto Frank;Roto NX;2005;1337;1561;Nein;Nein;0%;
F-0477;Nebengebäude West;1. Obergeschoss;Empfang;NGW-202;nicht begonnen;Weru;Winkhaus activPilot;2010;1789;1618;Nein;Nein;0%;
F-0478;Nebengebäude West;1. Obergeschoss;Empfang;NGW-202;fachlich geprueft;GU (Gretsch-Unitas);Roto NX;1998;2110;814;Nein;Nein;100%;
F-0479;Nebengebäude West;1. Obergeschoss;Poststelle;NGW-203;nicht zugaenglich;Weru;GU UNI-JET;1985;1119;967;Nein;Nein;0%;
F-0480;Nebengebäude West;1. Obergeschoss;Poststelle;NGW-203;nicht zugaenglich;Winkhaus;Winkhaus activPilot;1992;2335;2089;Ja;Nein;0%;
F-0481;Nebengebäude West;1. Obergeschoss;Poststelle;NGW-203;fachlich geprueft;Siegenia-Aubi;Winkhaus activPilot;2020;1807;1851;Nein;Nein;100%;erheblicher Mangel
F-0482;Nebengebäude West;1. Obergeschoss;Büro;NGW-204;freigegeben;GU (Gretsch-Unitas);GU UNI-JET;1985;1140;2009;Nein;Nein;100%;erheblicher Mangel
F-0483;Nebengebäude West;1. Obergeschoss;Büro;NGW-204;in Bearbeitung;Weru;Roto NT;1985;854;2073;Nein;Nein;64%;
F-0484;Nebengebäude West;1. Obergeschoss;Büro;NGW-204;nicht zugaenglich;Schüco;Roto NT;2003;1651;1195;Nein;Nein;0%;
F-0485;Nebengebäude West;1. Obergeschoss;Poststelle;NGW-205;in Bearbeitung;Roto Frank;Roto NT;1995;1181;1183;Nein;Nein;36%;
F-0486;Nebengebäude West;1. Obergeschoss;Poststelle;NGW-205;Pruefung abgeschlossen;Siegenia-Aubi;Roto NT;2018;851;1562;Nein;Nein;100%;
F-0487;Nebengebäude West;1. Obergeschoss;Poststelle;NGW-205;Spezialpruefung erforderlich;Siegenia-Aubi;Roto NX;2020;685;1573;Nein;Nein;0%;
F-0488;Nebengebäude West;1. Obergeschoss;Bibliothek;NGW-206;fachlich geprueft;GU (Gretsch-Unitas);Roto NT;1995;1104;820;Nein;Nein;100%;ohne Beanstandung
F-0489;Nebengebäude West;1. Obergeschoss;Bibliothek;NGW-206;nicht begonnen;Winkhaus;Maco Multi-Matic;2000;1498;802;Nein;Nein;0%;
F-0490;Nebengebäude West;1. Obergeschoss;Bibliothek;NGW-206;Spezialpruefung erforderlich;Schüco;Maco Multi-Matic;1998;1213;2010;Ja;Nein;0%;
F-0491;Nebengebäude West;1. Obergeschoss;Bibliothek;NGW-206;nicht zugaenglich;Siegenia-Aubi;Winkhaus activPilot;2008;1945;1893;Nein;Nein;0%;
F-0492;Nebengebäude West;1. Obergeschoss;Büro;NGW-207;Pruefung abgeschlossen;Siegenia-Aubi;GU UNI-JET;1998;711;1587;Nein;Nein;100%;Austausch empfohlen
F-0493;Nebengebäude West;1. Obergeschoss;Büro;NGW-207;nicht zugaenglich;Weru;Schüco AvanTec;1990;1428;2006;Ja;Nein;0%;
F-0494;Nebengebäude West;1. Obergeschoss;Büro;NGW-207;Pruefung abgeschlossen;Maco;Maco Multi-Matic;2018;2258;1434;Ja;Ja;100%;erheblicher Mangel
F-0495;Nebengebäude West;1. Obergeschoss;Poststelle;NGW-208;nicht begonnen;Weru;GU UNI-JET;2010;1369;1148;Nein;Nein;0%;
